#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-856.3833,267,13263.770081
89.326065,80,13267.282019
-1611.0997,361,13268.399009
631.03235,63,13269.556669
-428.77252,210,13271.934539
102.70055,109,13273.091252
-275.66858,56,13279.12859
345.67072,62,13286.249777
304.71295,65,13287.039232
-942.3112,277,13287.918593
-1566.5034,361,13289.414369
85.49654,104,13290.185097
-1366.2789,361,13291.680849
-1941.748,361,13292.096953
324.0361,132,13293.635374
319.2726,63,13294.023941
-799.18854,260,13294.784148
-1293.478,361,13295.522882
216.88107,100,13295.913377
-43.85725,126,13297.485181
81.347336,109,13297.875252
209.4331,80,13298.286392
-1540.8795,361,13299.042947
579.8275,76,13301.270992
-631.6842,297,13303.202157
-523.6355,102,13303.202157
-891.2196,240,13304.353702
38.67838,206,13304.353702
-155.41353,27,13306.227924
165.95026,41,13307.368373
-459.02948,162,13308.154253
452.01752,58,13308.52964
-589.974,214,13310.035395
282.26065,56,13313.542969
-1098.0564,307,13318.165958
-1216.9686,308,13319.678997
307.4253,67,13321.168904
-1404.1831,361,13322.275636
-1334.4902,361,13324.986607
-1685.7378,361,13328.382402
271.87976,54,13330.670027
-431.47342,187,13330.670027
263.7995,35,13331.402862
274.22726,72,13331.798404
-1360.196,361,13332.169763
-1121.1729,361,13332.936151
194.81802,104,13333.702574
-62.21127,14,13333.702574
-803.0913,208,13334.159294
261.31042,134,13338.528186
4.6750107,13,13338.967284
333.07007,56,13341.601583
-46.119167,124,13341.601583
-141.44824,136,13341.98264
-650.71564,235,13345.110117
-143.12892,18,13348.809751
413.48566,43,13350.312801
-76.47448,112,13352.419445
356.8552,53,13353.603748
-1331.6753,294,13356.2352
-1593.0759,361,13357.404913
-253.98732,129,13357.776216
-377.99792,69,13358.14575
-244.38667,142,13359.613778
-84.75744,15,13363.387977
88.69627,66,13364.769052
238.16135,61,13365.506576
454.05176,112,13366.358705
132.01877,91,13367.611704
-1509.1351,361,13370.249492
-548.8102,180,13371.943867
-69.186386,179,13373.615817
300.28836,60,13374.436615
-351.09924,271,13374.436615
-39.526085,11,13374.856068
339.96857,103,13375.266875
-583.36304,95,13377.279037
191.23761,143,13378.009332
-276.0362,190,13378.009332
-1176.0261,313,13378.79041
-385.52206,59,13381.106982
-28.52575,10,13385.092595
-625.12836,222,13385.092595
598.9286,66,13386.234479
135.61153,30,13386.606315
-756.62195,254,13387.353435
-14.377876,115,13387.718709
22.214645,58,13388.10554
-713.5906,265,13394.04783
164.2908,154,13395.530064
-777.531,316,13396.705885
261.744,73,13403.818961
132.47444,116,13404.281344
239.18738,62,13411.688182
-366.6217,227,13414.74694
-684.09247,282,13417.108922
-246.68507,173,13417.108922
-747.10895,268,13419.172307
-1729.3854,361,13420.330287
-1304.0587,318,13423.039103
-1594.097,340,13428.140629
-1340.1187,339,13431.941083
-5.7608414,118,13432.334212
-346.19183,170,13438.335778
-1469.6305,361,13438.725445
-203.18393,189,13440.544793
176.1579,147,13442.045521
-936.6355,237,13445.107749
-763.1796,209,13449.236739
-1713.4238,361,13449.236739
-1332.2068,301,13449.984344
156.2485,105,13452.016595
-126.4774,17,13458.336344
-474.6593,184,13458.727285
-574.1151,241,13459.505627
20.208,118,13459.917105
346.1963,117,13461.827094
-641.346,233,13463.794154
19.357384,87,13465.3995
-675.06946,229,13465.770082
-55.39159,115,13471.936401
-1809.1877,361,13471.937407
-930.9896,234,13475.343168
-619.88824,188,13476.476539
150.36191,74,13477.623008
-241.26321,145,13478.541093
-758.9715,217,13479.302263
39.685867,107,13479.678002
-257.05502,55,13480.052735
437.92065,54,13482.731181
-2078.2585,361,13485.755794
283.38058,78,13490.134588
-1648.213,348,13491.636569
-1570.5471,361,13493.92119
484.3982,92,13499.329998
408.08334,44,13499.705228
-1046.0532,268,13500.132494
-1772.8817,361,13503.925752
-199.38498,32,13503.925752
651.8101,85,13504.697625
504.17853,106,13506.198731
63.431732,178,13506.605022
-31.758987,150,13507.040418
-1007.16473,271,13508.177269
-175.03099,25,13509.413747
-1137.8877,350,13509.787422
-132.54913,160,13511.744843
-127.45586,176,13512.894321
-1560.6924,361,13514.102414
73.49373,95,13515.322391
52.405136,112,13515.322391
-917.407,218,13515.719945
-1456.4824,330,13515.719945
-1573.0267,361,13517.716547
-1456.4515,361,13517.716547
-1684.8289,361,13518.501755
-35.149513,9,13521.99604
463.25687,116,13524.41151
-1239.7272,361,13526.417072
-172.39389,132,13526.800021
466.32553,111,13529.131901
-1638.6715,361,13533.858641
124.49135,141,13535.007357
102.78615,36,13538.514141
-721.61536,204,13538.903897
-440.3042,152,13538.903897
177.65192,107,13541.132052
436.72644,62,13541.928653
531.57166,113,13544.149048
374.86578,91,13545.255308
421.79364,52,13546.408278
-1305.2563,330,13547.599009
213.6824,117,13549.447376
-871.31934,240,13551.329859
-1274.0969,361,13556.20475
-1320.0645,361,13558.129539
-156.44426,168,13558.891061
-4.9510727,9,13559.668297
358.95108,64,13562.723759
-199.71088,35,13562.723759
-886.81744,255,13564.248302
274.09097,35,13564.699151
57.207718,140,13569.235765
-69.888565,14,13569.994764
-1399.5327,338,13572.265566
-1077.8284,344,13573.014589
-83.8602,160,13573.405005
264.79544,33,13575.307024
257.9623,129,13576.073281
-215.00421,164,13576.073281
-9.016472,11,13580.312703
-115.12174,165,13581.07323
-496.00098,206,13588.605382
-574.80396,218,13588.605382
201.97433,84,13591.623771
308.6162,66,13595.24278
88.0556,154,13597.706288
-722.93146,251,13601.107085
-402.12445,250,13604.124485
-158.20456,32,13604.979858
-670.72656,231,13604.979858
220.02255,154,13604.979858
69.19727,165,13608.499784
-624.0524,177,13610.254283
147.05022,98,13612.463356
-1290.5902,351,13613.740973
9.737015,106,13616.347973
-168.96898,28,13616.347973
71.750244,91,13617.65193
-1318.5272,361,13619.340714
-381.39838,228,13625.334569
-756.2553,262,13625.817218
-66.21803,153,13626.244591
-1128.3976,290,13630.844697
-14.360115,181,13631.234947
-412.91992,212,13632.529964
-1291.0754,361,13632.944831
300.6033,50,13637.644536
-994.557,333,13638.937946
304.3651,85,13644.97936
-488.0372,161,13648.384318
-1258.671,361,13651.419583
-1533.6251,361,13653.174544
-228.02777,231,13653.606689
-1213.06,291,13656.679196
-446.93863,196,13657.899395
-1210.9309,323,13659.554518
-1361.8933,361,13659.554518
-1524.0961,361,13661.239604
273.9429,72,13662.092635
-643.3396,226,13666.391606
-480.8279,187,13668.134296
-60.76225,119,13670.23736
-867.1379,245,13671.036891
-88.86724,144,13671.817867
-101.484955,128,13672.214784
310.83472,117,13675.730036
-1415.9691,361,13680.056599
366.35028,50,13686.309005
-55.956795,16,13686.309005
-188.17926,210,13686.309005
-1497.4755,361,13688.230918
-576.1856,279,13690.574773
-368.6196,218,13692.445065
-2576.1235,361,13692.829609
117.23305,96,13697.657786
-535.14246,223,13697.657786
146.16154,98,13700.814566
10.477028,116,13702.793191
-600.4172,217,13703.208044
-381.94214,168,13705.950349
52.53611,169,13707.515123
431.39343,94,13708.671591
-1412.8208,361,13709.403541
-67.48338,132,13711.783807
-438.57108,198,13712.915007
-238.67958,159,13716.68162
3.2213745,122,13718.956918
-969.18445,249,13725.613007
-135.838,153,13727.043579
629.6569,98,13730.123536
360.81824,52,13732.487592
-1671.5435,361,13735.13171
-734.93286,259,13736.308986
-552.952,200,13738.942051
193.82184,74,13739.705107
-1254.2018,361,13741.66428
186.97137,119,13743.182431
-208.91191,138,13743.182431
-63.24943,140,13745.855531
-1253.4553,355,13748.128392
-989.0683,295,13748.128392
-1331.7323,361,13750.329671
-763.9501,213,13752.552295
-1105.5076,323,13753.992747
-109.09318,136,13754.764458
-1344.4203,283,13755.878465
-1338.1877,361,13756.692158
-97.818825,25,13757.439757
20.329506,110,13758.181495
-318.41602,190,13758.554023
191.88394,24,13759.303885
-1812.3892,361,13760.071413
85.68329,113,13761.770549
-976.6895,291,13762.213793
328.1497,57,13763.54546
-55.062153,11,13764.696481
-166.24103,39,13771.976661
11.177109,196,13772.736299
-653.89575,229,13773.890973
654.1663,79,13776.133483
-648.9887,324,13777.65986
-100.0,1,13778.04133
-891.572,246,13782.620264
-596.1442,282,13784.133693
-885.42633,220,13785.266263
382.02454,60,13786.747609
-181.91968,132,13787.122092
6.1551743,117,13788.252896
437.3009,69,13789.027241
-1305.6827,312,13790.159006
317.65335,112,13791.476985
-980.95605,357,13792.225714
407.33218,50,13793.37619
-1341.8203,361,13797.942734
-8.699982,114,13798.317706
-586.0464,205,13805.804149
-136.41805,3,13806.998468
202.52866,47,13808.213685
-504.34528,223,13811.168502
554.23474,87,13811.545189
-1207.432,285,13811.892678
232.5982,144,13817.044227
-951.88556,288,13817.417468
23.590385,92,13818.980218
95.31242,79,13818.980218
220.71011,63,13821.994678
-1447.0137,361,13824.322731
-790.1022,248,13825.119287
-303.05844,171,13825.119287
-330.2254,130,13834.467746
-60.03032,141,13835.962494
-1361.6793,349,13839.076663
-1754.5503,341,13839.466904
373.29037,45,13842.120152
193.8352,84,13842.928217
-856.42896,353,13843.317478
621.88,75,13845.548364
41.087402,152,13845.94744
-921.4264,300,13847.106407
166.62534,139,13850.427385
190.48218,88,13855.258912
318.15256,84,13856.007701
-1356.4429,318,13856.393134
402.9875,58,13856.393134
365.94342,114,13862.017414
-788.9915,248,13866.147918
-494.66006,161,13867.661653
-1485.8264,295,13870.212027
550.52905,93,13871.452573
-1343.6406,361,13877.378292
-1651.6213,361,13878.178549
-814.1724,232,13880.40834
289.34756,147,13882.001688
-1173.374,320,13882.001688
-1820.4971,361,13882.001688
-1050.4343,324,13883.190187
-478.3881,185,13883.190187
-1395.8822,341,13886.335865
465.56177,114,13886.76567
-457.0702,195,13886.76567
-857.8193,206,13887.574484
-105.531876,20,13890.169603
317.09662,86,13890.966605
-1451.9607,361,13892.198336
-1088.8871,361,13896.066329
413.5008,127,13896.475037
351.58224,41,13899.135935
536.8353,82,13900.321797
-116.5575,2,13901.161254
296.43134,151,13903.883755
-1733.9009,361,13905.647174
-100.31802,147,13906.496706
-70.13109,124,13907.293773
612.5187,84,13912.562959
-1403.5629,308,13914.181824
-1770.6769,361,13914.181824
735.1009,67,13914.562284
-393.75894,149,13916.093429
-1860.1891,361,13917.628637
279.125,79,13919.531576
159.64572,48,13923.079101
110.92824,79,13924.718596
-1278.9995,271,13924.718596
-1614.0171,361,13928.140568
-1594.682,361,13928.560555
-1218.7377,361,13933.767247
-103.750275,118,13938.105526
-483.7878,54,13940.862365
161.2912,79,13945.656193
-161.39288,184,13946.489209
-455.3551,159,13951.21595
165.24472,80,13954.702474
-357.46024,167,13955.084457
-204.13727,192,13957.801889
292.36395,44,13958.239527
-853.6498,255,13958.701869
-1065.935,301,13959.586486
198.68332,35,13959.586486
-1490.2399,361,13961.928244
-885.3173,236,13978.226605
-1267.3579,361,13982.764159
456.03162,61,13986.072013
-482.78104,182,13986.072013
-1284.7244,361,13986.903074
-1397.6449,361,13989.617967
347.47696,81,13990.37648
-1163.5581,300,13991.214447
-1211.3435,328,13993.841862
-565.17664,207,13994.216011
-1658.9061,361,13994.615307
279.60147,100,13994.615307
-65.22896,14,13995.806459
123.17688,97,13997.687099
442.49133,47,14004.264012
-924.6258,254,14006.532529
-912.10443,328,14009.299277
-614.2067,216,14009.668532
-1326.3842,361,14012.374534
-61.97659,10,14013.132424
352.57584,75,14015.95374
-146.41296,158,14016.717118
408.16455,59,14020.701127
225.48318,156,14020.701127
-1304.747,297,14022.740043
-1226.6025,274,14025.450058
-1678.8165,361,14025.841651
-1744.7029,322,14026.59549
-1425.8918,361,14026.98141
-946.4169,255,14028.473477
-348.39996,245,14030.103588
-380.3081,142,14033.514392
-1458.5259,361,14034.276344
-374.7407,225,14034.654449
-1488.7775,361,14038.915563
-1573.0999,361,14039.341138
-1348.606,286,14041.04695
-1607.0315,361,14043.71945
-588.2767,237,14044.198873
-1345.7651,350,14044.947754
-626.15155,231,14049.385771
-1424.6013,348,14050.950656
-101.08967,177,14052.155021
67.27261,156,14055.610072
-1404.6885,361,14057.879689
27.758095,150,14065.273936
340.79474,95,14065.687992
493.53497,134,14065.687992
266.6978,128,14066.113496
-1378.15,361,14066.516303
12.913124,215,14073.766807
148.98067,107,14075.621074
-344.09802,210,14076.446884
-1114.6232,361,14080.236005
-109.784256,159,14083.388943
-139.69846,228,14083.388943
96.14122,59,14089.896832
-911.634,259,14096.578354
-798.50195,282,14096.957288
-1204.8175,361,14100.261231
-166.86807,172,14112.215482
-281.666,161,14113.011506
122.526306,177,14114.883739
-741.24005,323,14117.876723
-514.9862,237,14118.613593
-401.4064,175,14119.725276
-717.72876,258,14122.111818
-788.6387,329,14124.815884
-699.1157,264,14126.331151
649.8492,112,14127.098413
-454.16895,255,14130.37598
-510.99902,242,14134.69204
451.97968,58,14135.539341
428.1671,46,14135.932501
266.62646,161,14137.09535
-87.14349,163,14140.828602
-834.66077,293,14142.457581
-1213.4585,361,14146.281845
377.63428,82,14147.055192
-1146.0907,361,14151.56482
193.67526,180,14153.870758
-1055.3188,361,14154.314779
-1118.794,361,14158.628213
-1141.9092,361,14167.446151
-1384.7651,361,14168.194628
368.16006,83,14172.95975
126.856125,103,14175.694236
-884.1236,361,14176.075207
-1169.8864,361,14176.441478
-92.30835,248,14177.196484
-1025.2128,361,14180.676037
-1156.0615,361,14182.548654
-1545.1431,361,14185.325316
-412.52353,230,14189.644311
-1067.5187,361,14193.624859
-1454.3403,361,14197.085639
-1483.5747,361,14199.430337
-534.2937,271,14202.614022
-790.15875,348,14203.068516
-127.775406,178,14204.262615
-1314.5894,361,14207.008735
-1219.2722,361,14207.387095
-1096.5712,361,14207.387095
37.82666,153,14213.640465
-800.17505,266,14215.522964
-1194.995,361,14216.607296
351.33173,114,14216.969452
-1120.0096,326,14222.963777
-871.9747,350,14225.589979
-163.965,151,14225.589979
369.11368,50,14225.960171
-408.99982,284,14229.85529
-138.71976,146,14231.949729
-724.6234,292,14231.949729
220.8887,156,14236.264328
-90.007965,232,14236.652595
-867.435,294,14240.561165
-292.982,189,14241.323682
42.05551,239,14246.337868
-923.4862,283,14246.751398
164.85788,104,14247.140145
13.540726,135,14249.052937
-23.814728,160,14251.355569
97.507965,105,14257.246084
517.84753,58,14258.746076
-786.46967,333,14259.138086
-1138.8505,361,14261.726951
-524.0369,326,14261.726951
-1197.8414,361,14264.487074
291.32736,102,14264.858295
-1042.4739,361,14266.739594
652.6328,92,14267.098405
352.68533,98,14269.432945
54.03285,184,14269.809559
-883.7468,296,14272.59567
-1331.9287,361,14281.822267
-1345.2599,361,14285.739467
418.49377,73,14285.739467
-220.1511,242,14286.873293
-640.92145,277,14289.575454
-874.8783,297,14291.109548
-1524.3049,361,14291.109548
-507.57657,230,14291.488281
394.13843,81,14293.411121
273.71408,182,14293.411121
109.96707,137,14293.411121
335.26733,103,14299.217981
-150.70996,156,14301.568685
-105.046814,152,14305.872702
-259.06137,159,14308.085216
-338.9521,153,14310.311347
173.61636,34,14312.291226
485.5547,55,14314.567376
-1129.2745,358,14315.337916
366.92905,93,14317.535321
-810.09283,300,14317.982318
-1072.553,361,14320.312979
-979.2904,361,14325.738743
-897.76184,288,14329.57847
-515.0255,281,14337.702476
461.59436,52,14338.978804
-1286.1132,339,14341.351938
478.08594,140,14345.327774
131.09961,132,14346.523831
-647.94556,287,14347.159864
-1243.2618,361,14350.635382
-169.08301,189,14350.635382
-118.46101,218,14359.008926
-1107.2649,361,14364.0842
-1225.8354,361,14366.479376
-943.96265,309,14367.846053
-415.88156,215,14368.358706
101.92886,175,14372.949416
-618.81586,240,14377.520035
7.2080154,131,14380.591112
-481.45108,193,14381.082009
-323.07477,187,14381.082009
-962.87225,361,14381.082009
-375.91876,190,14382.565949
-65.94504,144,14384.028688
-113.4276,96,14388.299431
300.35184,94,14393.71906
-1022.3881,304,14394.157278
217.37552,104,14395.549598
-861.1186,295,14399.706267
-845.8926,302,14400.162372
-684.8703,201,14402.37474
436.37878,67,14404.284068
-1472.3044,361,14405.191823
-1489.0159,361,14408.85204
-325.83246,189,14411.72786
-216.15198,240,14415.781232
391.3435,39,14418.535559
327.77942,92,14423.685778
-1270.1989,361,14424.097705
-857.19604,240,14425.749877
500.77692,76,14429.917423
-1015.47107,361,14429.917423
39.214874,196,14434.540437
-118.403275,179,14435.784703
499.27026,78,14438.876142
-583.2836,115,14444.949205
-566.29114,244,14446.888275
355.384,91,14448.758466
-1227.085,361,14450.495482
349.56778,80,14450.495482
-234.97162,198,14451.292915
-1261.5107,361,14451.703228
-201.09921,157,14451.703228
425.82495,66,14452.579906
-1380.0762,354,14453.729891
281.1956,90,14458.366158
80.161285,113,14461.905347
466.58624,58,14462.334318
176.37894,83,14462.785426
-51.48297,235,14475.838389
1.6312332,159,14476.342802
-1257.6941,361,14476.774627
-199.64453,228,14483.29265
452.4343,130,14486.963694
-247.42168,131,14487.361191
-1344.3658,361,14487.361191
-1181.4082,361,14489.782792
-55.683075,36,14491.96576
-1362.5962,361,14496.335947
343.11133,78,14497.468633
132.1041,133,14499.926279
159.44595,122,14504.060939
-777.2593,273,14508.663148
-1297.4626,361,14519.125056
-1326.012,361,14519.615783
73.488174,129,14520.472926
-956.85364,361,14522.090403
-306.52728,297,14525.825989
-200.61429,289,14527.824231
-57.698353,164,14528.234214
-1262.65,361,14532.622868
-916.8629,324,14533.673705
-1204.8894,361,14535.261705
-1138.9081,361,14536.211798
-1133.5457,361,14544.026376
390.9163,103,14547.208397
-1169.6359,361,14547.208397
208.44427,129,14549.907742
-442.2719,279,14552.279339
-1114.7432,361,14567.815136
-1208.0486,361,14571.218274
-175.02893,182,14578.597343
-410.8217,215,14581.449668
-277.28384,271,14581.449668
409.59402,173,14583.189939
391.69638,172,14589.968578
-868.1624,284,14590.533683
-241.15202,215,14591.684616
251.78778,109,14592.328549
-745.8167,266,14592.328549
267.4378,38,14604.738409
-1718.3743,361,14612.018587
-1080.2053,340,14613.456774
-146.87476,210,14615.249727
-116.860825,248,14617.539877
-205.67538,196,14619.292
8.302567,165,14620.582117
582.1653,137,14622.871638
-899.61646,361,14626.616544
-1048.2883,355,14627.907718
-887.1831,361,14629.692994
-1025.807,361,14630.278042
-1168.2501,361,14632.649036
445.1054,41,14633.346034
-891.14886,361,14643.530084
431.88373,68,14647.434013
526.17706,58,14656.276902
574.3181,124,14658.42626
-1047.7003,361,14661.589198
423.11053,176,14664.298826
-1060.8939,361,14675.564577
-1094.2555,361,14680.589201
-266.34674,204,14681.687939
231.8736,130,14686.147447
-524.02856,305,14686.598296
-824.2835,361,14686.599297
-632.431,271,14690.912544
217.76147,29,14700.605061
-843.952,361,14703.478204
-840.42804,361,14703.935551
-89.29432,165,14704.962686
434.2785,52,14705.429646
-765.49304,361,14706.964863
1.0396042,11,14711.012462
-883.2617,361,14711.477921
-873.93097,361,14714.28449
-1180.3357,358,14718.652673
-839.5953,361,14719.10943
209.32977,213,14724.17675
158.034,135,14724.677806
-95.361404,282,14725.736035
-1068.23,361,14731.642113
-960.9985,361,14734.954707
-1146.5371,361,14740.119406
-761.0098,315,14744.126198
-308.05072,202,14748.556456
-449.9304,239,14750.535694
-216.83502,233,14751.555586
492.7069,133,14756.361859
-561.6267,330,14759.374163
-238.95613,200,14760.370977
-878.4142,361,14766.973709
-609.65186,274,14769.811624
-1147.1771,361,14775.801176
-772.26215,361,14776.253027
-890.80505,361,14776.254091
436.68268,91,14779.59445
79.6882,163,14783.687528
497.70532,52,14785.705618
-1141.916,361,14787.386575
-831.57245,311,14791.082461
-785.7926,332,14799.399699
-622.81683,352,14800.098738
-459.32806,229,14800.725642
23.218216,176,14803.048909
-872.9377,361,14811.887291
-240.12567,291,14821.084124
727.59204,122,14822.020736
-591.8361,335,14823.983246
539.0133,134,14825.136001
478.7417,145,14826.291115
-400.05832,212,14826.291115
-1024.7329,361,14827.412149
256.61877,126,14832.475312
853.1924,80,14833.436617
-232.45166,262,14837.319027
-472.62366,233,14843.831465
-851.0717,361,14845.351807
-724.66956,276,14846.326492
-476.80637,267,14846.326492
504.55005,46,14850.208509
380.76312,102,14852.181939
-124.70648,255,14853.181818
213.19351,152,14854.723903
-945.47516,340,14856.683324
-1087.5394,361,14862.148913
-409.6526,233,14862.622524
471.93643,168,14862.622524
96.253914,220,14862.622524
404.4636,102,14872.129393
-518.7515,260,14872.129393
-161.82495,200,14872.129393
529.273,56,14874.032048
40.997467,145,14876.046427
-1085.5342,361,14881.828763
-935.8892,361,14885.399051
-954.28326,361,14892.374955
536.74695,137,14893.28091
-32.08979,15,14899.696781
-915.77966,361,14900.697991
-1000.9759,336,14900.697991
61.377197,155,14901.160896
-694.19714,361,14905.887081
-99.14494,195,14908.945248
259.0877,130,14909.562792
131.28586,163,14913.288802
-63.704212,33,14916.549289
515.35736,53,14920.359636
893.0465,77,14920.936207
837.0372,116,14920.936207
238.44843,179,14923.043437
-568.41187,293,14928.93325
391.79468,116,14930.383213
-881.5033,361,14931.357369
506.4134,50,14931.866691
-410.10358,239,14941.278465
403.0137,174,14941.278465
-88.64931,183,14947.502055
-1075.4712,332,14954.618288
-822.53827,361,14957.83235
-918.1022,347,14958.812397
4.6173553,9,14963.060809
-877.6387,361,14967.3934
56.03514,213,14967.824052
-246.65569,218,14969.719844
121.75515,208,14974.641567
-424.8748,233,14977.57999
-869.9836,361,14979.599145
-940.2663,361,14980.538934
466.13574,60,14984.158123
87.84346,147,14985.607223
30.956192,146,14992.301534
-479.36908,287,14995.534362
540.61145,61,14998.658265
-999.64966,347,14998.658265
