#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-206.3182,52,257.927226
-585.27423,132,259.421931
-347.0261,55,259.421931
-1304.5986,347,259.421931
-475.1428,136,259.826421
-89.72076,3,260.557517
-712.87146,188,261.711423
-406.96405,71,262.478275
-243.62778,60,262.85768
-151.46884,6,264.733624
-358.10248,70,266.359538
-66.817986,38,267.197436
-197.45546,49,268.392782
-931.1463,280,269.582914
-461.93802,105,271.815646
-532.49304,142,272.563912
-623.59924,162,275.95892
-149.18655,13,276.711262
-1193.2804,343,276.711262
-1129.4697,361,277.537693
-426.05838,94,279.505356
-223.94968,34,280.261772
-170.64076,32,281.855237
-1226.7087,361,282.593324
-253.7142,84,282.970325
-998.73303,206,284.064765
-998.59485,189,284.460638
-34.50447,42,284.460638
-93.091675,20,287.061229
-858.91284,231,287.458953
-606.23816,164,287.458953
-84.13813,67,288.647772
-233.36559,13,289.38684
-344.95935,73,289.780816
-619.83936,139,291.608918
-399.3029,72,292.344315
-798.1523,226,292.715275
-436.3743,43,293.091397
-514.2833,95,294.206949
-91.75517,7,297.010914
-609.0809,183,297.371915
-131.57649,59,299.379247
-169.28613,113,299.79129
-36.33618,71,299.79129
-256.91193,107,300.915201
-269.07364,66,301.283089
-232.01205,42,303.292352
-71.617355,15,305.571492
-1425.253,361,305.941504
-165.24684,59,307.060471
-663.40967,168,307.428871
-281.01077,40,308.261597
-182.28543,23,308.638609
-292.51855,54,310.587834
-53.256603,24,310.587834
-139.06473,47,310.587834
-637.58563,166,312.038676
-352.09338,150,312.416462
-194.33246,40,312.416462
-407.4754,264,313.920789
-1220.9053,361,314.659435
-276.46747,127,315.043405
-564.7848,349,315.415522
7.628975,25,316.529139
-287.8523,150,316.900246
-115.5993,34,323.329886
-263.94064,40,323.708953
-156.01477,33,324.824638
-270.32892,110,324.824638
-202.3849,34,325.209881
-881.44025,361,325.941028
-154.32925,87,326.332502
-121.27149,32,326.702153
-290.01086,31,327.088557
-32.692932,93,327.088557
-273.26117,48,328.634683
-381.77005,83,328.999607
-101.68679,16,329.369245
-84.61322,35,329.758458
-136.59398,7,329.758458
-58.10578,68,331.36581
-246.78,18,331.734914
-42.338894,9,332.506373
-1103.0785,361,334.121979
-132.80774,21,335.22963
-46.418602,41,339.391251
-21.895164,26,341.692663
-241.69589,156,342.082858
-148.3824,96,343.936763
-278.43765,161,345.518615
-74.30136,44,346.641254
-463.19632,56,347.426658
-175.56094,58,347.426658
40.760406,87,348.158835
-601.41296,161,348.917704
-122.84201,2,349.685937
-188.07172,117,350.487632
-233.93793,30,350.866199
-100.5469,9,350.866199
